Name,Salary
Elijah Molden,"$1,196,463"
Brandon Stephens,"$1,196,463"
Nahshon Wright,"$1,196,463"
James Pierre,"$1,300,000"
Fabian Moreau,"$1,300,000"
Adam Butler,"$1,550,000"
Cam Smith,"$1,757,106"
Trevis Gipson,"$1,250,000"
Brian Asamoah,"$1,371,712"
Martin Emerson,"$1,367,822"
Chad Muma,"$1,356,527"
Will Harris,"$2,582,500"
Tre Herndon,"$2,582,000"
Sione Takitaki,"$2,430,000"
Ezekiel Turner,"$2,000,000"
Nik Needham,"$1,825,000"
Easton Stick,"$1,800,000"
Tony Brown,"$1,232,500"
Gervon Dexter,"$1,680,932"
Jelani Woods,"$1,343,118"
Christian Harris,"$1,337,062"
Akeem Davis-Gaither,"$1,028,128"
Darnay Holmes,"$1,021,722"
Jalen Davis,"$1,215,000"
Travis Jones,"$1,325,491"
Leki Fotu,"$1,017,118"
Alex Wright,"$1,323,394"
JT Woods,"$1,319,111"
Jake Martin,"$1,197,000"
Tuli Tuipulotu,"$1,642,846"
Cordale Flott,"$1,310,460"
DeAngelo Malone,"$1,307,396"
Cam Lewis,"$1,185,000"
Nakobe Dean,"$1,301,160"
James Lynch,"$996,499"
Fred Johnson,"$1,252,500"
Troy Dye,"$993,395"
DeMarvin Leal,"$1,296,724"
Marcus Jones,"$1,294,238"
Tyrique Stevenson,"$1,612,375"
Carlos Basham Jr.,"$1,406,236"
Cam Thomas,"$1,286,084"
Terrel Bernard,"$1,260,748"
Deion Jones,"$1,165,000"
Geno Stone,"$1,760,000"
Zach Carter,"$1,269,985"
Nick Cross,"$1,266,410"
Danny Gray,"$1,261,227"
Channing Tindall,"$1,261,227"
Leo Chenal,"$1,261,227"
Kerby Joseph,"$1,261,226"
Cameron Sample,"$1,067,036"
Derrick Barnes,"$1,065,301"
Shaq Quarterman,"$947,350"
Amik Robertson,"$947,350"
Chris Rumph II,"$1,058,386"
Zech McPhearson,"$1,052,413"
D.J. Turner,"$1,540,011"
Camryn Bynum,"$1,049,453"
Joe Bachie,"$1,160,000"
Drew Forbes,"$1,325,000"
Del'Shawn Phillips,"$1,110,000"
Rashad Weaver,"$1,034,916"
Marco Wilson,"$1,032,595"
Tre Brown,"$1,030,166"
Danny Pinter,"$910,925"
Kwon Alexander,"$1,317,500"
Mario Edwards,"$1,317,500"
Markus Golden,"$1,317,500"
Kamu Grugier-Hill,"$1,317,500"
Johnathan Hankins,"$1,317,500"
John Jenkins,"$1,317,500"
Shaq Lawson,"$1,317,500"
David Mayo,"$1,317,500"
Bobby McCain,"$1,317,500"
Rodney McLeod,"$1,317,500"
Matthew Adams,"$1,232,500"
Brandon Allen,"$1,232,500"
Tre Flowers,"$1,232,500"
Lonnie Johnson,"$1,232,500"
Jordan Kunaszyk,"$1,232,500"
Ryan Neal,"$1,232,500"
Derrick Nnadi,"$1,232,500"
Chandon Sullivan,"$1,232,500"
Anthony Walker Jr.,"$1,232,500"
Armon Watts,"$1,232,500"
Eric Wilson,"$1,232,500"
Josh Woods,"$1,232,500"
Isaac Yiadom,"$1,232,500"
Daniel Thomas,"$903,029"
Bryce Hall,"$902,701"
Arthur Maulet,"$1,080,000"
Jonathan Bullard,"$1,317,500"
Justin Strnad,"$883,193"
Percy Butler,"$1,112,254"
Dane Belton,"$1,111,122"
Josh Ball,"$994,836"
D'ante Smith,"$994,836"
Damarri Mathis,"$1,109,741"
Micheal Clemons,"$1,106,024"
Akayleb Evans,"$1,105,269"
Jalyn Armour-Davis,"$1,105,082"
Cameron Brown,"$873,341"
Alohi Gilman,"$870,801"
